,,Lowes.com,,,,,,,,,,,,,,,,
,MODEL MATCH,BRAND,MODEL NUMBER,MSRP,MAP,MODEL CHECKED,MSRP CHECK,PRICE CHECK,NET PRICE CHECK,AVAILABLE CHECK,NEXT AVAILABLE CHECK,ETA CHECK,Collected @,Status,MSRP Difference,,Status,Mean
,FALSE,GE APPLIANCES,GDE23ESESS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE21EYKFS,"$1,999.00","$1,999.00",,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE21ESKSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE21EMKES,"$1,999.00","$1,999.00",,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE21EGKWW,"$1,899.00","$1,899.00",,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE21EGKBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE20GSHSS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE20GMHES,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE20GGHWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE20GGHBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE20ETEWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE20ETEBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE20ESESS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE03GMKED,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE03GLKLB,$409.00,$0.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE03GLHLB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE03GGKWW,$389.00,$0.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE03GGKBB,$389.00,$0.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE03GGHWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GDE03GGHBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCWP1805DCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCWP1800DWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCWN4950DWS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCWN2800DWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCV06GSNSB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCV06GGNBB,$999.00,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCL22QGTSV,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCL22KGRSV,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCF23KGWWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCF23KGWBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCE06GSHSB,$609.00,$0.00,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCE06GGHWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GCE06GGHBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSL3HCXRLS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSL3HCXLLS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSL0HCXRLS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSL0HCXLLS,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSC3HBXWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSC3HBXCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSC3HBXBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSC0HCXWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSC0HCXBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSC0HBXWW,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSC0HBXCC,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBSC0HBXBB,,,,,,,,,,,Something went wrong,,,,
,FALSE,GE APPLIANCES,GBS22KBSWW,,,,,,,,,,,Something went wrong,,,,
